Date,Description,Amount,Category,Account
2024-01-03,AWS Cloud Infrastructure,12450.00,SaaS Tools,Corporate Card
2024-01-05,Employee Payroll - January,185000.00,Payroll,Operating Account
2024-01-08,Office Rent - January,8500.00,Facilities,Operating Account
01/10/2024,Google Workspace Licenses,2340.00,SaaS Tools,Corporate Card
2024-01-12,Contractor Payment - Design,4500.00,Contractors,Operating Account
2024-01-15,Customer Payment - Acme Corp,45000.00,Revenue,Revenue Account
Jan 17 2024,Stripe Payment Processing Fees,890.00,Payment Processing,Operating Account
2024-01-19,Team Lunch - Sales Kickoff,1250.00,Meals & Entertainment,Corporate Card
2024-01-22,HubSpot CRM Annual Renewal,18000.00,SaaS Tools,Corporate Card
2024-01-25,Customer Payment - Globex Inc,22500.00,Revenue,Revenue Account
2024-01-28,Internet & Phone Bills,450.00,Utilities,Operating Account
2024-01-30,Office Supplies,320.00,Office Supplies,Corporate Card
02/01/2024,Employee Payroll - February,185000.00,Payroll,Operating Account
2024-02-03,AWS Cloud Infrastructure,13100.00,SaaS Tools,Corporate Card
Feb 05 2024,Office Rent - February,8500.00,Facilities,Operating Account
2024-02-07,Customer Payment - Initech,31000.00,Revenue,Revenue Account
2024-02-09,Legal Services - Contract Review,6500.00,Professional Services,Operating Account
2024-02-12,GitHub Enterprise,1200.00,SaaS Tools,Corporate Card
2024-02-14,Team Offsite - Valentine's,3200.00,Meals & Entertainment,Corporate Card
02/15/2024,Customer Payment - Umbrella Corp,18750.00,Revenue,Revenue Account
2024-02-18,Contractor Payment - Backend Dev,7200.00,Contractors,Operating Account
2024-02-20,DataDog Monitoring,1890.00,SaaS Tools,Corporate Card
2024-02-22,Customer Payment - Acme Corp,45000.00,Revenue,Revenue Account
2024-02-25,Stripe Payment Processing Fees,1120.00,Payment Processing,Operating Account
2024-02-27,Office Supplies,180.00,Office Supplies,Corporate Card
2024-02-28,Internet & Phone Bills,450.00,Utilities,Operating Account
2024-03-01,Employee Payroll - March,185000.00,Payroll,Operating Account
03/04/2024,AWS Cloud Infrastructure,14200.00,SaaS Tools,Corporate Card
2024-03-06,Office Rent - March,8500.00,Facilities,Operating Account
2024-03-08,Customer Payment - Globex Inc,28000.00,Revenue,Revenue Account
2024-03-11,Recruiting - LinkedIn Premium,2400.00,Recruiting,Corporate Card
Mar 13 2024,Customer Payment - Hooli,55000.00,Revenue,Revenue Account
